namespace;instance_index;id;value_def;value_min;value_max
;;IGNITION_BLOWING_DURATION_BLOWING_PHASE;8;5;600
;;IGNITION_BLOWING_FAN_POWER_BLOWING_PHASE;100;1;100
;;IGNITION_FEEDING_DURATION_FEEDING_PHASE;90;5;120
;;IGNITION_FEEDING_FAN_POWER_FEEDING_PHASE;1;1;100
;;IGNITION_FEEDING_PERCENT_FEEDER_WORK;50;1;100
;;IGNITION_STABILIZATION_DURATION_STABILIZATION_PHASE;120;10;300
;;IGNITION_STABILIZATION_POWER_STABILIZATION_PHASE;50;1;100
;;IGNITION_STABILIZATION_START_POWER_STABILIZATION_STATE;1;1;100
;;IGNITION_GAS_SENSOR_WITH_FIRE;1;0;1
;;IGNITION_GAS_SENSOR_THRESHOLD_GAS_HOLD;50;1;250
;;IGNITION_GAS_SENSOR_INCREASE_GAS_TEMPERATURE;10;1;100
;;IGNITION_GAS_SENSOR_FIRING_UP_BRIGHTNESS;20;1;100
;;IGNITER_SETTINGS_DURATION_IGNITER_WORK;7;1;20
;;IGNITER_SETTINGS_FAN_POWER_AWAITING_PHASE;1;1;100
;;IGNITER_SETTINGS_IGNITION_ATTEMPS;2;1;3
;;STANDARD_WORK_WORK_POWER;100;1;100
;;STANDARD_WORK_SUSTAIN_POWER;1;1;100
;;STANDARD_WORK_HYSTERESIS;2;1;10
;;SIGMA_SETTINGS_THRESHOLD_MIN;1;1;100
;;SIGMA_SETTINGS_THRESHOLD_MAX;5;1;100
;;SIGMA_SETTINGS_POWER_STEP_MAX;5;1;10
;;SIGMA_SETTINGS_TEMP_STAGNATION;3;1;10
;;SIGMA_SETTINGS_TIME_OVERHEAT;3;1;10
;;DAMPING_SETTINGS_MIN_DURATION;120;1;120
;;DAMPING_SETTINGS_TIME_AFTERBURNING;480;1;1200
;;DAMPING_SETTINGS_POWER_AFTERBURNING;35;1;100
;;DAMPING_SETTINGS_TIME_EXHAUST;300;1;300
;;DAMPING_SETTINGS_POWER_EXHAUST;100;1;100
;;GRATE_GRATE_HALL;0;0;1
;;GRATE_BEFORE_IGNITION;1;0;1
;;AFTER_DAMPING_MENU_IS_ON_DAMPING;1;0;1
;;GRATE_RETURN_TIME_DELAY;6;1;120
;;GRATE_AT_WORK_IS_ON_WORK;1;0;1
;;GRATE_AT_WORK_WORK_TIME;60;1;60
;;GRATE_AT_WORK_CYCLES_COUNT_WORK;120;1;300
;;MIN_POWER_FEEDER_WORK_TIME_MIN;40;10;600
;;MIN_POWER_FEEDER_PAUSE_TIME_MIN;460;10;600
;;MIN_POWER_FAN_GEAR_MIN;13;1;100
;;MAX_POWER_FEEDER_WORK_TIME_MAX;40;10;600
;;MAX_POWER_FEEDER_PAUSE_TIME_MAX;120;10;6000
;;MAX_POWER_FAN_GEAR_MAX;46;1;100
;;OPERATION_PARAMETERS_POWER_GAIN;15;1;100
